Rank,Name,Platform,Year,Genre,Publisher,NA_Sales(millions),EU_Sales(millions),JP_Sales(millions),Other_Sales(millions),Global_Sales(millions)
12428,Devil's Third,WiiU,2015,Action,Nintendo,0.04,0.02,0,0.01,0.06
12434,Zero Escape: Zero Time Dilemma,3DS,2016,Adventure,Aksys Games,0.04,0,0.01,0.01,0.06
12442,Terraria,PS4,2014,Action,505 Games,0,0.05,0.01,0.01,0.06
12449,Risen 3: Titan Lords,PS4,2015,Role-Playing,Deep Silver,0,0.05,0,0.01,0.06
12452,Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,0.03,0,0.02,0.01,0.06
12490,Odin Sphere: Leifthrasir,PS3,2016,Role-Playing,Nippon Ichi Software,0.01,0.02,0.03,0.01,0.06
12521,BlazBlue: Chrono Phantasma Extend,XOne,2015,Action,PQube,0.05,0.01,0,0.01,0.06
12525,Destiny: The Collection,PS4,2016,Shooter,Activision,0.01,0.04,0,0.01,0.06
12529,Digimon All-Star Rumble,X360,2014,Fighting,Namco Bandai Games,0.04,0.01,0,0.01,0.06
12547,Darksiders II,XOne,2015,Action,Nordic Games,0.03,0.02,0,0.01,0.06
12597,Sacred 3,X360,2014,Role-Playing,Deep Silver,0.03,0.03,0,0.01,0.06
12609,Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.03,0,0.02,0.01,0.06
12640,Game of Thrones (Telltale),PS3,2015,Adventure,Telltale Games,0.02,0.03,0,0.01,0.06
12690,Murdered: Soul Suspect,PC,2014,Action,Square Enix,0,0.05,0,0.01,0.06
12728,Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,0,0.05,0,0.01,0.06
12731,Nights of Azure,PS4,2015,Action,Tecmo Koei,0.03,0.02,0,0.01,0.06
12753,Tokyo Twilight Ghost Hunters,PS3,2014,Role-Playing,Aksys Games,0.03,0,0.02,0.01,0.06
12784,MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,0,0.05,0,0.01,0.06
12800,Tony Hawk's Pro Skater 5,PS3,2015,Sports,Activision,0.04,0,0,0.01,0.06
12802,Handball 16,PS4,2015,Sports,Bigben Interactive,0,0.05,0,0.01,0.06
12832,NHL Legacy,X360,2015,Action,Electronic Arts,0.05,0,0,0.01,0.05
12871,NBA 2K17,X360,2016,Sports,Take-Two Interactive,0.04,0,0,0.01,0.05
12889,Goosebumps: The Game,3DS,2015,Adventure,WayForward Technologies,0.05,0,0,0.01,0.05
12927,ZombiU,PS4,2016,Action,Ubisoft,0,0.04,0.01,0.01,0.05
12932,Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS3,2016,Action,Activision,0.01,0.03,0,0.01,0.05
12950,Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05
12960,Toy Soldiers: War Chest,XOne,2015,Action,Ubisoft,0.05,0,0,0.01,0.05
13002,Natural Doctrine,PS3,2014,Role-Playing,Nippon Ichi Software,0.03,0.01,0.01,0.01,0.05
13006,Stranger of Sword City,PSV,2015,Role-Playing,Nippon Ichi Software,0.02,0.02,0,0.01,0.05
13014,WRC 5: FIA World Rally Championship,PS4,2015,Sports,Bigben Interactive,0,0.04,0,0.01,0.05
13015,Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,0.02,0.02,0,0.01,0.05
13019,SpongeBob: HeroPants,PSV,2015,Platform,Activision,0.03,0.01,0,0.01,0.05
13031,Assetto Corsa,PS4,2016,Racing,505 Games,0,0.04,0,0.01,0.05
13097,The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,0.01,0.03,0,0.01,0.05
13102,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,0.01,0.03,0,0.01,0.05
13105,LEGO The Hobbit,PC,2014,Action,Warner Bros. Interactive Entertainment,0,0.04,0,0.01,0.05
13172,Pro Cycling Manager 2016,PS4,2016,Sports,Focus Home Interactive,0,0.04,0,0.01,0.05
13234,NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.03,0.01,0,0.01,0.05
13287,Saints Row: Gat out of Hell,PS4,2015,Action,Deep Silver,0,0.04,0,0.01,0.05
13301,Handball 16,PS3,2015,Sports,Bigben Interactive,0,0.04,0,0.01,0.05
13348,Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,0.04,0,0,0.01,0.05
13437,Mighty No. 9,PS4,2016,Platform,Deep Silver,0.04,0,0,0.01,0.05
13494,Rugby Challenge 3,PS3,2016,Sports,Alternative Software,0,0.04,0,0.01,0.04
13510,S??bastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0,0.04,0,0.01,0.04
13649,Hitman (2016),PS4,2016,Action,Square Enix,0,0.04,0,0.01,0.04
13704,XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.01,0.02,0,0.01,0.04
13761,Infamous: First Light,PS4,2014,Action,Sony Computer Entertainment,0,0.03,0,0.01,0.04
13781,Nobunaga's Ambition: Sphere of Influence,PS4,2014,Strategy,Tecmo Koei,0.03,0,0,0.01,0.04
13883,Rugby Challenge 3,PS4,2016,Sports,Alternative Software,0,0.03,0,0.01,0.04
13957,Ragnarok Odyssey,PS3,2014,Role-Playing,GungHo,0.03,0.01,0,0.01,0.04
13972,Rugby World Cup 2015,PSV,2015,Sports,Ubisoft,0,0.03,0,0.01,0.04
13987,NHL Legacy,PS3,2015,Action,Electronic Arts,0.03,0,0,0.01,0.04
13995,NHL 16,PS3,2015,Sports,Electronic Arts,0,0.03,0,0.01,0.04
14075,Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.02,0.01,0,0.01,0.04
14082,MLB 15: The Show,PSV,2015,Sports,Sony Computer Entertainment,0.03,0,0,0.01,0.04
14085,Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04
14094,Batman: A Telltale Game Series,PS4,2016,Adventure,Telltale Games,0.01,0.02,0,0.01,0.04
14140,Resident Evil 4 HD,PS4,2016,Shooter,Capcom,0.03,0,0,0.01,0.03
14185,MX vs. ATV Supercross,PS3,2014,Racing,Nordic Games,0.02,0.01,0,0.01,0.03
14236,NASCAR Heat Evolution,PS4,2016,Racing,Dusenberry Martin Racing,0.03,0,0,0.01,0.03
14683,Ghostbusters (2016),PS4,2016,Action,Activision,0.02,0,0,0.01,0.03
14757,Xblaze: Lost Memories,PSV,2015,Adventure,Arc System Works,0.02,0,0,0.01,0.03
14760,Let's Sing 2016,PS4,2015,Action,FuRyu Corporation,0.02,0,0,0.01,0.03
